No,Timestamp_ms,Humidity,Temperature,Rs_MQ137_kOhm,Rs_TGS2602_kOhm,Rs_MiCS_NH3_kOhm,Rs_MiCS_Red_kOhm,Ratio_MQ137,Ratio_TGS2602,Ratio_MiCS_NH3,Ratio_MiCS_Red,PPM_Calc_MQ,PPM_Calc_TGS,PPM_Calc_MN3,PPM_Calc_MRD,PPM_Actual,Class_Label,Class_Name
1,1782566217152,71.89,28.35,113.6706,28.7042,880.9368,304.7490,1.008397,1.007715,1.015904,0.986807,0.39,0.58,0.62,0.80,0,1,AMAN
2,1782566219262,71.82,28.33,113.7497,28.7225,880.3875,303.7201,1.009099,1.008357,1.015270,0.983475,0.39,0.58,0.62,0.81,0,1,AMAN
3,1782566220855,71.77,28.32,113.7860,28.7288,881.6335,304.3388,1.009421,1.008578,1.016707,0.985479,0.39,0.58,0.62,0.80,0,1,AMAN
4,1782566223379,71.78,28.33,113.8058,28.7378,882.8461,304.4019,1.009597,1.008894,1.018106,0.985683,0.39,0.58,0.61,0.80,0,1,AMAN
5,1782566225545,71.75,28.34,113.8377,28.7504,881.3767,303.7724,1.009880,1.009337,1.016411,0.983645,0.39,0.58,0.62,0.81,0,1,AMAN
6,1782566227511,71.74,28.34,113.8719,28.7417,876.5606,302.2554,1.010183,1.009031,1.010857,0.978733,0.39,0.58,0.62,0.82,0,1,AMAN
7,1782566229801,71.72,28.34,113.9104,28.7381,875.0749,303.1088,1.010525,1.008905,1.009144,0.981496,0.39,0.58,0.63,0.81,0,1,AMAN
8,1782566232372,71.69,28.34,113.8763,28.7339,877.3962,303.9558,1.010222,1.008757,1.011821,0.984239,0.39,0.58,0.62,0.81,0,1,AMAN
9,1782566234431,71.70,28.34,113.8597,28.7393,879.1084,304.0030,1.010075,1.008947,1.013795,0.984391,0.39,0.58,0.62,0.81,0,1,AMAN
10,1782566236316,71.71,28.34,113.9005,28.7465,878.3790,303.2966,1.010437,1.009200,1.012954,0.982104,0.39,0.58,0.62,0.81,0,1,AMAN
11,1782566238226,71.73,28.34,113.9380,28.7456,876.8874,303.2340,1.010769,1.009168,1.011234,0.981901,0.39,0.58,0.62,0.81,0,1,AMAN
12,1782566240132,71.75,28.35,113.9457,28.7384,875.0749,302.6608,1.010837,1.008915,1.009144,0.980045,0.39,0.58,0.63,0.82,0,1,AMAN
13,1782566242057,71.74,28.36,113.9137,28.7294,872.0458,301.2565,1.010554,1.008599,1.005651,0.975498,0.39,0.58,0.63,0.82,0,1,AMAN
14,1782566243946,71.74,28.36,113.8058,28.7162,868.8937,302.0894,1.009597,1.008136,1.002016,0.978195,0.39,0.58,0.63,0.82,0,1,AMAN
15,1782566245866,71.75,28.36,113.7772,28.7048,868.0378,301.9909,1.009343,1.007736,1.001029,0.977876,0.39,0.58,0.64,0.82,0,1,AMAN
